종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"267250","HD현대","KOSPI",,"193900","-4900","-2.46","198900","199500","192500","96564","18898176850","15316759181500","78993085"
"267270","HD현대건설기계","KOSPI",,"97100","-1600","-1.62","99300","100400","96800","194775","19165553600","1685424222300","17357613"
"443060","HD현대마린솔루션","KOSPI",,"196900","2300","1.18","198000","201500","195500","45140","8964020900","8826871449000","44829210"
"071970","HD현대마린엔진","KOSPI",,"91500","6500","7.65","87800","95600","87100","662081","61621934750","3103816792500","33921495"
"322000","HD현대에너지솔루션","KOSPI",,"63400","1100","1.77","63400","64800","61000","117542","7401930550","710080000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"14570","-550","-3.64","15300","15380","14510","1587883","23445769550","2751562537660","188851238"
"267260","HD현대일렉트릭","KOSPI",,"800000","-7000","-0.87","826000","833000","797000","69689","56423534000","28837708000000","36047135"
"329180","HD현대중공업","KOSPI",,"516000","-5000","-0.96","527000","530000","514000","86974","45135001000","54159992100000","104961225"
"376270","HEM파마","KOSDAQ","기술성장기업부","47300","-850","-1.77","49550","49550","47150","27995","1344293800","335292530100","7088637"
"097230","HJ중공업","KOSPI",,"21650","-300","-1.37","22000","22250","21550","621876","13565782125","1954894197600","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","52100","200","0.39","52100","52300","51700","79864","4149454200","1475987321100","28329891"
"014790","HL D&I","KOSPI",,"2675","0","0.00","2675","2700","2640","49730","132440695","101271757675","37858601"
"028300","HLB","KOSDAQ","중견기업부","46550","200","0.43","46600","46650","46000","172726","7997723950","6137762270500","131853110"
"003580","HLB글로벌","KOSPI",,"2150","20","0.94","2120","2170","2115","22250","47691713","108926535750","50663505"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1464","-7","-0.48","1470","1478","1451","103553","151486968","127376109096","87005539"
"343090","HLB사이언스","KONEX","일반기업부","2005","-40","-1.96","1981","2015","1980","2422","4804879","38014302760","18959752"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","3755","70","1.90","3685","3770","3685","158252","588282360","457798552790","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","1987","67","3.49","1920","1999","1910","212853","417936645","287193254544","144536112"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","2680","45","1.71","2635","2725","2600","38687","102427700","78084163760","29135882"
"047920","HLB제약","KOSDAQ","기술성장기업부","14940","230","1.56","14820","14990","14720","21294","316302140","490022378640","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","2830","50","1.80","2850","2855","2790","66298","186453377","238801804290","84382263"
"046210","HLB파나진","KOSDAQ","벤처기업부","1681","12","0.72","1669","1698","1662","24983","41792838","75858012958","45126718"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","7130","0","0.00","7130","7380","7020","4942","35064790","66261927740","9293398"
"204320","HL만도","KOSPI",,"54700","200","0.37","54900","56500","53000","985462","54159502250","2568554464000","46957120"
"060980","HL홀딩스","KOSPI",,"46850","-50","-0.11","47900","47900","46550","14716","693725875","431651397450","9213477"
"011200","HMM","KOSPI",,"20550","0","0.00","20700","20800","20400","506898","10455448225","19383540283500","943237970"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","29950","1250","4.36","29500","30250","29150","310537","9247163275","2504136511600","83610568"
"036640","HRS","KOSDAQ","우량기업부","5600","20","0.36","5630","5640","5580","61540","344885700","91586880000","16354800"
"035000","HS애드","KOSPI",,"8780","-260","-2.88","9010","9100","8700","44162","389138790","142303114320","16207644"
"002460","HS화성","KOSPI",,"13190","30","0.23","13020","13290","13020","6699","88016125","133878500000","10150000"
"487570","HS효성","KOSPI",,"63400","400","0.63","63400","64100","62500","5212","331087950","236223771800","3725927"
"298050","HS효성첨단소재","KOSPI",,"192900","3900","2.06","190500","193800","189400","5355","1029493450","864181969200","4479948"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","5570","0","0.00","0","0","0","0","0","24675100000","4430000"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2210","5","0.23","2210","2215","2205","5852","12937650","9348300000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2200","0","0.00","2200","2205","2200","6491","14299560","9306000000","4230000"
"0099X0","IBKS제25호스팩","KOSDAQ","SPAC(소속부없음)","2075","-640","-23.57","2715","2715","2030","2159520","4601943765","12408500000","5980000"
"003560","IHQ","KOSPI",,"10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"015360","INVENI","KOSPI",,"67700","-300","-0.44","68000","68500","67300","6340","429707700","385890000000","5700000"
"095340","ISC","KOSDAQ GLOBAL","우량기업부","107500","6100","6.02","106000","109000","104900","142550","15302723900","2278683735000","21197058"
"175330","JB금융지주","KOSPI",,"25750","950","3.83","25250","25900","25050","237986","6096823650","4889528475750","189884601"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","3950","-85","-2.11","4035","4060","3925","60633","240800400","204398074600","51746348"
"234080","JW생명과학","KOSPI",,"13840","-440","-3.08","14280","14350","13780","72834","1018099920","219150227360","15834554"
"067290","JW신약","KOSDAQ","중견기업부","2120","-80","-3.64","2120","2120","2010","1679970","3457760985","113157387120","53376126"
"001060","JW중외제약","KOSPI",,"27950","-200","-0.71","28200","28400","27700","50290","1405857450","650841743500","23285930"
"001067","JW중외제약2우B","KOSPI",,"61000","300","0.49","61000","61000","61000","3","183000","12808353000","209973"
"001065","JW중외제약우","KOSPI",,"29850","200","0.67","29850","29850","29850","5","149250","10207237350","341951"
"096760","JW홀딩스","KOSPI",,"3750","-40","-1.06","3825","3825","3740","32673","122687449","277218532500","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","70100","-100","-0.14","70600","70700","69500","111636","7827222350","2490827689200","35532492"
"318000","KBG","KOSDAQ","벤처기업부","4545","15","0.33","4510","4570","4505","6765","30633015","39724313535","8740223"
"008970","KBI동양철관","KOSPI",,"1870","25","1.36","1845","1890","1840","517333","967424172","149414696090","79900907"
"024840","KBI메탈","KOSDAQ","중견기업부","1771","41","2.37","1740","1795","1740","270147","480404215","61824191429","34909199"
"105560","KB금융","KOSPI",,"125900","700","0.56","126400","126400","125000","264755","33303310150","48026078767700","381462103"
"415640","KB발해인프라","KOSPI",,"10180","220","2.21","9980","10290","9940","150705","1527208055","1247513678640","122545548"
"432320","KB스타리츠","KOSPI",,"3225","-55","-1.68","3300","3300","3210","191838","620262001","327061069125","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","3635","70","1.96","3585","3640","3580","20476","74079676","41802500000","11500000"
"455250","KB제25호스팩","KOSDAQ","관리종목(소속부없음)","2095","0","0.00","2090","2095","2085","20537","42969235","9018975000","4305000"
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)","2057","2","0.10","2060","2060","2055","2414","4963010","26545585000","12905000"
